category,subcategory,ITEM DESCRIPTION
LIGHTING,Telephone Cables.,"Telephone cable, 80 pair"
LIGHTING,Telephone Cables.,"Telephone cable, 100 pair"
LIGHTING,Telephone Cables.,Telephone cableCAble termination up to 4000 Pair 
LIGHTING,PUBLIC ADDRESS SYSTEM:,
LIGHTING,PUBLIC ADDRESS SYSTEM:,"Public address system, commercial buildings, speaker including wiring 
rigid steel conduits & head end equip.. average"
LIGHTING,PUBLIC ADDRESS SYSTEM:,"Sound system Speakers,ceiling or wall"
LIGHTING,PUBLIC ADDRESS SYSTEM:,"Sound system Amplifier, 250W"
LIGHTING,T.V. SYSTEMS:,
LIGHTING,T.V. SYSTEMS:,TV System distribution pedestal including splitter
LIGHTING,T.V. SYSTEMS:,"Closed circuit TV system, surveillance,one station(camera & monitor)"
LIGHTING,T.V. SYSTEMS:,"Closed circuit TV system, Add for each added camera..."
LIGHTING,T.V. SYSTEMS:,"Closed circuit TV system, surveillance,one station, monitor & weatherproof camera"
LIGHTING,T.V. SYSTEMS:,"Closed circuit TV system, surveillance,one station, monitor & 1 pan & tilt camera"
LIGHTING,T.V. SYSTEMS:,"Closed circuit TV system;Industrial quality,for zoom lens-remote control,add Average."
LIGHTING,PULL BOXES & CABINETS:,
LIGHTING,PULL BOXES & CABINETS:,"Pull box,sheet metal,NEMA 1, 200 mm x 200 mm, 100 mm deep"
LIGHTING,PULL BOXES & CABINETS:,"Pull box,sheet metal,NEMA 1, 400 mm x 500 mm, 200 mm deep"
LIGHTING,SUBSTATION EQUIPMENT:,
LIGHTING,SUBSTATION EQUIPMENT:,"Power transformers, 11 to 33 KV"
Electrical Site Work ,,
Electrical Site Work ,FIBER  OPTICS:,
Electrical Site Work ,FIBER  OPTICS:,"Fiber optic cable,labor depends on fiber type & type of connectors; Average labor"
Electrical Site Work ,FIBER  OPTICS:,Fiber optic cable connector
Electrical Site Work ,FIBER  OPTICS:,Fiber optic cable finger splice
Electrical Site Work ,FIBER  OPTICS:,"Multi-channel rack enclosure, ( 10 Modules )"
Electrical Site Work ,FIBER  OPTICS:,Fiber optic patch panel ( 12 points)
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Handholes,precast concrete with concrete cover,not including excavation & backfill, 1.2 x 1.2 meters, 1.2 meter deep"
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Manhole,precast concrete with iron racks,pulling irons,cast iron frame & cover, not including excavation & backfill, 1.2 x 1.8 meters, 2.1 meter deep."
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Underground duct bank,PVC type,concrete encased,180 mm O.C.; 2 duct  40 mm diameter "
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Underground duct bank,PVC type,concrete encased,180 mm O.C.; 2 duct  50 mm diameter "
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Underground duct bank,PVC type,concrete encased,180 mm O.C.; 4 duct  50 mm diameter, complete including handling, excavation, fill, concrete & conduit laying"
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Underground duct bank,PVC type,concrete encased,180 mm O.C.; 4 duct 100 mm diameter, complete including handling, excavation, fill, concrete & conduit laying"
Electrical Site Work ,ELECTRIC & TELEPHONE SITE WORK:,"Underground duct bank,PVC type,concrete encased, 250 mm O.C.; 4 duct 150 mm diameter, complete including handling, excavation, fill, concrete & conduit laying"
Electrical Site Work ,FIBER  DUCT:,
Electrical Site Work ,FIBER  DUCT:,"Underground duct bank,Fiber type,concrete encased, 180 mm O.C.; 2 duct  50 mm diameter,  complete with excavation, concrete, fill & conduit laying"
Electrical Site Work ,FIBER  DUCT:,"Underground duct bank,Fiber type,concrete encased, 180 mm O.C.; 2 duct 100 mm diameter "
Electrical Site Work ,FIBER  DUCT:,"MV equipment Pad Sleeves installation for Substation Packaged Type, RMU, Switching station"
Electrical Site Work ,FIBER  DUCT:,"Installation of Switching Station , SF-6 type, 13.8kV, 3 Ph, 60 Hz, fault level = 500 MVA, (1sec), weatherproof (outdoor type).1.000 Truck provided by others"
Electrical Site Work ,FIBER  DUCT:," Insallation of Substation Packaged Type (Pad mounted)  include Ring Main Unit (RMU) SF-6 type (with fuse/with circuit breaker) 13.8 KV, 3 PH, 60Hz, fault level 500MVA,  Oil immersed type transformer 100 - 2000 KVA, 13.8 KV-400Y/230 V, 3 PH,  4W, 60Hz  and LV switchgear panel. Truck provided by others"
Electrical Site Work ,FIBER  DUCT:," L.V Cable termination for LV switchgear panel Substation Packaged Type (Pad mounted) 100 KVA, 13.8 KV-400Y/230 V, 3 PH,  4W, 60Hz with cable gland and all accessories (Plate Punshing Excluded)"
Electrical Site Work ,FIBER  DUCT:," L.V Cable termination for LV switchgear panel Substation Packaged Type (Pad mounted) 300 KVA, 13.8 KV-400Y/230 V, 3 PH,  4W, 60Hz with cable gland and all accessories (Plate Punshing Excluded)"
Electrical Site Work ,FIBER  DUCT:," L.V Cable termination for LV switchgear panel Substation Packaged Type (Pad mounted) 1500 KVA, 13.8 KV-400Y/230 V, 3 PH,  4W, 60Hz with cable gland and all accessories (Plate Punshing Excluded)"
Electrical Site Work ,FIBER  DUCT:, Installation of Lighting control panel including pad Sleeves and cable gland and all accessories
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)",
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","1 - 4 + 4 N - 4 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 4 + 4 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 6 + 4 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 10 + 6 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 16 + 10 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 25 + 10 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 35 + 16 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 50 + 16 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 70 + 16 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 95 + 25 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 120 + 35 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 150 + 35 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","4 - 240 + 70 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","3 - 120 + 70 N - 35 G mm2 Cu / XLPE / RSWA / PVC, D.B.,  600/1000 V"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","3 - 50 mm2 Cu / XLPE / SWA / PVC, D.B., 15kV"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","3 - 185 mm2 Cu / XLPE / SWA / PVC, D.B., 15kV"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","3 - 300 mm2 Cu / XLPE / SWA / PVC, D.B., 15kV"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)",Control Cable (3 - 2.5 mm2  Cu/PVC/PVC. 600/ 1000 V  )
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","2 nos. - 1.5 mm2 Cu / XLPE / RSWA / PVC shielded fire alarm cable, D.B., at  105 deg. Celsius with Grounding cable"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","2 nos. - 2.5 mm2 Cu / XLPE / RSWA / PVC shielded fire alarm cable, D.B., at  105 deg. Celsius with Grounding cable"
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","TELPHONE CABLE 10P-0.90, multi-core, polyethelene insulated, WP (jelly-filled), DB, "
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","TELPHONE CABLE 30P-0.90, multi-core, polyethelene insulated, WP (jelly-filled), DB, "
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","TELPHONE CABLE 200 P-0.90, multi-core, polyethelene insulated, WP (jelly-filled), DB, "
Electrical Site Work ,"ARMORED CABLE DB , Duct bank ('EXCAVATION AND BACKFILL EXCLUDED         See division 022-204&254)","TELPHONE CABLE 300P-0.90, multi-core, polyethelene insulated, WP (jelly-filled), DB, "
Electrical Site Work ,"Electrical cable tiles (for fiber ,tel, fire, L.V, M.V cable )",
Electrical Site Work ,"Electrical cable tiles (for fiber ,tel, fire, L.V, M.V cable )",400*400*5 mm red cement tiles
Electrical Site Work ,"Warning tape installation  (for fiber ,tel, fire, L.V, M.V cable )",
Electrical Site Work ,"Warning tape installation  (for fiber ,tel, fire, L.V, M.V cable )","plastic Warning tape installation  (for fiber ,tel, fire, L.V, M.V cable )"
Electrical Site Work ,"Warning tape installation  (for fiber ,tel, fire, L.V, M.V cable )","Uninterruptible Power Supply - (UPS) @ 1 KVA, 230V,  1 PH,  60 Hz with 20 Minutes Maintenance Free Back-up Batteries"
Electrical Site Work ,"Warning tape installation  (for fiber ,tel, fire, L.V, M.V cable )","Uninterruptible Power Supply - (UPS) @ 2 KVA, 230V,  1 PH,  60 Hz with 20 Minutes Maintenance Free Back-up Batteries"
Electrical Site Work ,"Warning tape installation  (for fiber ,tel, fire, L.V, M.V cable )","Uninterruptible Power Supply - (UPS) @ 15 KVA, 230V,  1 PH,  60 Hz with 20 Minutes Maintenance Free Back-up Batteries"
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Generator set,diesel engine,including battery,charger,muffler,transfer switch & daily fuel tank, 3 Phase, 4 Wire Up to 220/380 V; Capacity   150 KW"
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Suppy of OMS-846 Optical Modem at Station L which includes rack mounted DDF, 16xE1 circuits, coaxial cables and connectors and other required accessories to make the system fully operational, refer to note 4c of Dwg 1-XE-E-28 and note-4 of Dwg 1-XE-E-29."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Suppy of OMS-846 Optical Modem at Military Work Office which includes rack mounted Optical Distribution Frame (ODF), rack mounted DDF, wall mounted cabinet, 16xE1 circuits, coaxial and connectors and other required accessories to make the system fully operational, refer to note 4d of Dwg 1-XE-E-28 and note-4 of Dwg 1-XE-E-29."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Suppy of Network Materials at Military Work Office and Station L, refer to note-5 of Dwg 1-XE-E-29."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Provision of Automatic Transfer Scheme (ATS), Central Monitoring and Control System for 13.8KV Switchgear, refer to note 19 of dwg. 4-12-E-01."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,#REF!
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Provision of electrical work ?(wiring , containment required outside the machine room and the shaft , emergancy light , back boxes and wiring ."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Installation and connection from the proposed S/S-2A up to proposed LPA at Fac. (4-19),  which includes the following; 4-50+16G-63 Cu/XLPE/RSWA/PVC, D.B. LV cable, uPVC sleeves, excavation, backfilling and all pertinent accessories. Refer to note-14 on Dwg. no. 1-XE-E-25. "
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Termination of Proposed Telephone Cables from MDF at facility 2-28 to existing MDF, refer to Note 9 of Dwg 1-XE-E-19."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Installation and connection from the proposed FACP at WTP up to proposed FAPB at Fac. (4-19),  which includes the following;  2 nos.-1.5 mm2 Cu / XLPE / RSWA / PVC shielded fire alarm cable, D.B., at  105 deg. Celsius with Grounding cable, uPVC sleeves, excavation, backfilling and all pertinent accessories. Refer to note-13 on Dwg. no. 1-XE-E-25. "
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Provision for required Equipment/materials at the Telephone Tapping Point, refer to Notes 3, 4 & 4a of Drwg. No. 1-XE-E-09"
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Termination of existing FACP located at existing Fac. 5-02  to the proposed Fire Alarm Network of CFACP-2, refer to Note 7 of Dwg 1-XE-E-22."
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Provision for required Equipment/materials at the Power Tapping Point, refer to Notes 3 & 4 of Draw. No. 1-XE-E-05"
Electrical Site Work ,GENERATOR SET:        COMPLETE WITH ELECTROMECH CONNECTIONS UP TO 20 METERS DISTANCE,"Provision  of  Digital Prayer Time Display Clock System which includes wires, conduit, testing, commissioning, all pertinent accessories to make the system operational. Refer to note no. 14 of Dwg 3-04-E-02. "
"EXCAVATING,BACKFILLING & COMPACTING",,"EXCAVATING,BACKFILLING & COMPACTING"
"EXCAVATING,BACKFILLING & COMPACTING",BACKFILL:,
"EXCAVATING,BACKFILLING & COMPACTING",BACKFILL:,Backfill by hand light soil
"EXCAVATING,BACKFILLING & COMPACTING",BACKFILL:,Backfill by hand heavy soil
"EXCAVATING,BACKFILLING & COMPACTING",BACKFILL:,"Backfill light soil by hand & compaction in 150 mm layers, hand tamp, soft soil"
"EXCAVATING,BACKFILLING & COMPACTING",BACKFILL:,Backfill light soil by hand & compaction by roller
"EXCAVATING,BACKFILLING & COMPACTING",BACKFILL:,Backfill light soil by hand & compaction by vibrating pate
"EXCAVATING,BACKFILLING & COMPACTING",EXCAVATING TRENCH OR CONTINUOUS FOOTING:  No Sheeting Or Dewatering Included:,
"EXCAVATING,BACKFILLING & COMPACTING",EXCAVATING TRENCH OR CONTINUOUS FOOTING:  No Sheeting Or Dewatering Included:,"Excavating trench up to 1.2 meter deep, 0.57 M3 hydraulic backhoe,common earth"
"EXCAVATING,BACKFILLING & COMPACTING",EXCAVATING TRENCH OR CONTINUOUS FOOTING:  No Sheeting Or Dewatering Included:,"Excavating trench by hand with pick & shovel, 2 meter deep, light soil."
"EXCAVATING,BACKFILLING & COMPACTING",EXCAVATING TRENCH OR CONTINUOUS FOOTING:  No Sheeting Or Dewatering Included:,"Backfill trench, F.E. loader, wheel Mtd. 0.76 M3 bucket,
average haul area 30 meters"
PIPED UTILITIES,,
PIPED UTILITIES,BEDDING:,
PIPED UTILITIES,BEDDING:,"Bedding for utility lines,not including compaction,crushed run gravel"
PIPED UTILITIES,BEDDING:,"Bedding for utility lines ( cables ) sleeves cleaning ..etc ,not including compaction,crushed run gravel"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&254,
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&255,"Hand excavate and trim for pipe bells after trench excavation,pipe size 200 mm"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&256,"Backfill from existing stockpile,no compaction,by 75 Hp dozer; 15 Lm haul, sand & gravel"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&257,"Compaction by rammer tamper, 300 to  450 mm, 200 mm lifts, 2 passes"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&258,"Manhole without frame & covers, concrete cast in place 1.2 m x 1.2 m x 0.2 m thick & 1.2 m deep"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&259,"Manhole without frame & covers, concrete cast in place 1.2 m x 1.2 m x 0.2 m 
thick & 2.4 m deep"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&260,"Excavating trench up to 1.2 meter deep, 0.57 M3 hydraulic backhoe,common earth"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&261,"Excavating trench 2 to 3.00 meter deep, 0.57 M3 hydraulic backhoe,common earth"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&262,"Manhole frames & covers, C.I., 600 mm square, 227 kg"
PIPED UTILITIES,EXCAVATION AND BACKFILL:         See division 022-204&263,"Cast in place including forms & steel, Spread footings, spread under  0.75 m3"
Mechanical,,
Mechanical,,"Rough-in, supply, waste, vent & carrier for wall hung water closet; plastic piping, approximaterun of 10 m each for both supply and DWV"
Mechanical,,"Water closet, bowl only, With flush valve, seat; wall hung or floor mounted."
Mechanical,,"Lavatory,Vanity top, Cultured marble, single bowl, 635 mm x 482 mm, single bowl"
Mechanical,,"Rough-in, supply, waste and vent for all Vanity top lavatories; plastic piping, approximate run of 18 m each for both supply & DWV"
Mechanical,,"Kitchen sink with faucets and drain , counter top, Porcelain enamel on C.I., 
760 mm x 530 mm single bowl"
Mechanical,,"Rough in, supply, waste and vent for countertop sink; plastic piping, approximate run of
18 m each for both supply & DWV"
Mechanical,,"Kitchen sink with faucets and drain, raised deck, Porcelain enamel on C.I.,
 813 mm x 533 mm dual level, double bowl"
Mechanical,,"Rough-in, supply, waste and vent for wall service sink; plastic piping,approximate run of
18 m each for both supply & DWV"
Mechanical,,"Drinking fountain, wall mounted, Bronze,cast aluminium or fiberglass,  
300 mm back, single bubller unit"
Mechanical,,"Rough-in, Supply, vent & waste for drinking fountain, at 20 m, plastic supply piping and 20 m of DWV plastic piping"
Mechanical,,"Showers, Stall, with door and trim, fiberglass, one piece, 3 walls, 910 mm x 910 mm"
Mechanical,,"Rough-in, supply, waste and vent for shower stall; plastic piping, approximate run of 18 m each for both supply & DWV"
Mechanical,,"Pressure booster pump system,with diaphragm tank, control & pressure switch 10HP"
Mechanical,,"Bath tubs, recessed porcelain enamel on cast iron, with trim 1829 mm x
914 mm"
Mechanical,,"Lavatory faucet,centerset, without drain"
Mechanical,,"Rough-in, supply, waste and vent for all Vanity top lavatories; plastic piping, approximate run of 18 m each for both supply & DWV"
Mechanical,,"Pipe, PVC, couplings, 3 m O.C., hangers 90 mm schedule 40, 25 mm diameter [1""]"
Mechanical,,"Pipe, PVC, couplings, 3 m O.C., hangers 90 mm schedule 40, 38 mm diameter [1-1/2""]"
Mechanical,,"Pipe, PVC, couplings, 3 m O.C., hangers 90 mm schedule 40, 78 mm diameter [3""]"
Mechanical,,"Insulating, Pipe  with flexible Rubber tubing, 10 mm wall,  25 mm iron pipe size"
Mechanical,,"Insulating, Pipe  with flexible Rubber tubing, 13 mm wall,  38 mm iron pipe size"
Mechanical,,"Insulating, Pipe  with flexible Rubber tubing, 13 mm wall,  50 mm iron pipe size"
Mechanical,,"Insulating, Pipe  with flexible Rubber tubing, 13 mm wall,  76 mm iron pipe size"
Mechanical,,"Valves, bronze, Angle or Ball, 1034 kPa, rising stem, threaded   25 mm size "
Mechanical,,"Residential, water heater, electric, glass lined tank, 38 liter, single element"
Mechanical,,"Residential, water heater, electric, glass lined tank, 100 liter, double element"
Mechanical,,"Steel tank, liquid expansion, painted, rubber diaphragm, 500 galon capcity"
Mechanical,,"Pipe, PVC, couplings, 3 m O.C., hangers 90 mm schedule 40, 50 mm diameter [2""]"
Mechanical,,"Pipe, PVC, couplings, 3 m O.C., hangers 90 mm schedule 40, 75 mm diameter [2-1/2""]"
Mechanical,,"Sewer piping, no excav. or fill, plastic reinforced, general strength 100 mm diameter"
Mechanical,,"Sewer piping, no excav. or fill, plastic reinforced, general strength 75 mm diameter"
Mechanical,,"Drains, heavy duty, wiht sediment bucket, C.I., 300 mm loose grate,  from 76 mm to  150 mm pipe "
Mechanical,,"Drains, floor, medium  duty, C.I., double flange, 178 mm top, from 50 mm to 76 mm pipe size. "
Mechanical,,"Copper, drainage, P trap, standard pattern,90 mm pipe size "
Mechanical,,"Cleanout floor type round or square, nickel bronze top 100 mm pipe
size [4""]"
Mechanical,,"Cleanout floor type round or square, nickel bronze top 76 mm pipe
size [3""]"
Mechanical,,"Pipe, plastic, fiberglass reinforced, couplings 3 m O.C. hangers 90 mm, high 
strength, 100 mm diameter [4""]"
Mechanical,,"Sewer piping, no excav. or fill, plastic reinforced, general strength 150 mm diameter"
Mechanical,,"Fan, residential, bath exhaust, grille, back draft damper (110 CFM), 0.052 CUM/s"
Mechanical,,"Pipe, Steel black to  A-53, schedule 40,or Galvanized, threaded with couplings, clevis type hangers, 3 m O.C., black, 100 mm diameter "
Mechanical,,"Pipe, stainless steel, threaded, couplings and hangers 3 m, O.C., 
schedule 40, type 304/316, 50 mm diameter "
Mechanical,,"Pipe, stainless steel, threaded, couplings and hangers 3 m, O.C., 
schedule 40, type 304/316, 25 mm diameter "
Mechanical,,"Sprinkler,  Foam-water,pendant or upright, 13 mm NPT, 13 mm orifice"
Mechanical,,"Fire, standpipe connections, wall, w/plugs & chains, single or double, flush, polished brass
64 mm x 64 m x 67 mm x 150 mm."
Mechanical,,
Mechanical,,"Valve, iron body, Swing check, 862 kPa, Flanged, 100 mm size "
Mechanical,,"Valve, iron body, Swing check, 862 kPa, Flanged,  76 mm size "
Mechanical,,"Fire valve, wheel handle, 2068 kPa, 64 mm"
Mechanical,,"Fire hydrants, wall, with caps, single, flush, polished brass 64 mm x 76 mm"
Mechanical,,"Automatic air vent Cast iron  body, stainless steel internals, float type 13 mm inlet, 2068 kPa "
Mechanical,,"Pipe, plastic, fiberglass reinforced, couplings 3 m O.C. hangers 90 mm, high 
strength,400 mm diameter [16""]"
Mechanical,,"Pipe, plastic, fiberglass reinforced, couplings 3 m O.C. hangers 90 mm, high 
strength, 315 mm diameter [12""]"
Mechanical,,"Pipe, plastic, fiberglass reinforced, couplings 3 m O.C. hangers 90 mm, high 
strength, 250 mm diameter [10""]"
Mechanical,,"Pipe, plastic, fiberglass reinforced, couplings 3 m O.C. hangers 90 mm, high 
strength, 225 mm diameter "
Mechanical,,"Pipe, plastic, fiberglass reinforced, couplings 3 m O.C. hangers 90 mm, high 
strength, 100 mm diameter [4""]"
Mechanical,,"Fire hydrants,two way mechanical joints,excavation and backfill
not included.133 mm valve size, 3 m depth"
Mechanical,,"Valves, bronze, Angle or Ball, 1034 kPa, rising stem, threaded   32 mm size "
Mechanical,,"Piping valve,gate,flanged,300mm diameter"
Mechanical,,"Piping valve,gate,flanged,300mm diameter"
Mechanical,,"Piping valve,gate,flanged with boxes,size 150 mm diameter"
Mechanical,,"Valves, bronze, Angle or Ball, 1034 kPa, rising stem, threaded   50 mm size "
Mechanical,,"Fittings,ductile iron,mechanical joint, 90 deg. bend 400 mm diameter (16"")"
Mechanical,,"Fittings,ductile iron,mechanical joint, 90 deg. bend 200 mm diameter (8"")"
Mechanical,,"Pipe, stainless steel, threaded, couplings and hangers 3 m, O.C., 
schedule 40, type 304/316, 80 mm diameter "
Mechanical,,"Pump, general utility, single stage, double suction, 150 mm discharge x 200 mm suction, 60 HP"
Mechanical,,"Steel tank, liquid expansion, painted, rubber diaphragm, 150 galon capcity"
Mechanical,,"Fan, propeller exhaust, wall shutter, 6 mm S.P., direct drive two speed, (1000 CFM,1/8 HP), 0.472 CUM/s, 93 W"
Mechanical,,"Fire pump with controller, fittings and relief valve, diesel 47 L/s, 345 kPa, 40 HP, 127 mm pump [5""]"
Mechanical,,"FCU, cabinet mounted, with controls and filter, direct expansion, 17.6 kW cooling for use with/air cooled condensing."
Mechanical,,"Shower built-in, head, arm,252 mL/s valve"
Mechanical,,"Pipe, copper solder joints type L tubing, coupling, & hangers 3 m O.C. 20 mm diameter [3/4""]"
Mechanical,,pipe test 
Mechanical,,"Manhole frames & covers, C.I., 600 mm square, 227 kg"
Mechanical,,"Roof exhauster, centrifugal, aluminum housing, 300 mm galvanized curb, bird screen, back draft damper, 6 mm S.P. direct drive (2050 CFM), 0.968 CUM/s, 0.165 SQM damper"
Mechanical,,"Duct galvanized steel, fabricated & installed"
Mechanical,,Capped Lines (for Future Use)
Mechanical,,"FCU, cabinet mounted, with controls and filter, direct expansion, 17.6 kW cooling for use with/air cooled condensing."
Mechanical,,"electric work for elevator ( back box , piping , e- light )"
