Category,COST ACCOUNT,ITEM,U.O.M.,FOUN.,GF,FF,SF,TF,FOF,RF,BUDGET QTY,ENG. QTY
PART3 MOSQ,S1.P3.MOSQ.4.2.2.6,Marble Base ,? ?,, 33.66 ,,,,,, 33.66 , 33.66 
PART3 MOSQ,S1.P3.MOSQ.4.2.2.7," Base Paint , 100 mm high",? ?,, 71.20 ,,,,,, 71.20 , 71.20 
PART3 MOSQ,S1.P3.MOSQ.4.2.3.1,Portland Cement Plaster on concrete and masonry surfaces,?2,, 222.00 ,,,,,, 222.00 , 222.00 
PART3 MOSQ,S1.P3.MOSQ.4.2.3.2,"Painting on cement plaster surfaces, latex paint",?2,, 222.00 ,,,,,, 222.00 , 222.00 
PART3 MOSQ,S1.P3.MOSQ.4.3.1.1,"Type A,  Size 1200 mm x 3000 mm",???,, 18.00 ,,,,,, 18.00 , 18.00 
PART3 MOSQ,S1.P3.MOSQ.4.3.1.2,"Type B,  Size 1000 mm x 2000 mm",???,, 4.00 ,,,,,, 4.00 , 4.00 
PART3 MOSQ,S1.P3.MOSQ.4.3.1.3,"Type C,  Size 1500 mm x 1000 mm",???,, 6.00 ,,,,,, 6.00 , 6.00 
PART3 MOSQ,S1.P3.MOSQ.4.4.1.1,"Type A,  size 1800 mm x 2600 mm, with transom",???,, 2.00 ,,,,,, 2.00 , 2.00 
PART3 MOSQ,S1.P3.MOSQ.4.4.2.1,"Type B,  size 1000 mm x 2600 mm, with transom",???,, 1.00 ,,,,,, 1.00 , 1.00 
PART3 MOSQ,S1.P3.MOSQ.4.4.2.2,"Type C, size 1000 mm x 2200 mm ",???,, 1.00 ,,,,,, 1.00 , 1.00 
PART3 MOSQ,S1.P3.MOSQ. 4.4.2.3,"Type D, size 1000 mm x 2200 mm, with louver",???,, 4.00 ,,,,,, 4.00 , 4.00 
PART3 MOSQ,S1.P3.MOSQ.4.4.2.4,"Type F, size 2400 mm x 2200 mm ",???,, 4.00 ,,,,,, 4.00 , 4.00 
PART3 MOSQ,S1.P3.MOSQ.4.4.2.N,"Type G, size 2000 mm x 2200 mm",???,, 2.00 ,,,,,, 2.00 , 2.00 
PART3 MOSQ,S1.P3.MOSQ. 4.5.1,"  PCC Surround for Type ""A"" Window",???,, 18.00 ,,,,,, 18.00 , 18.00 
PART3 MOSQ,S1.P3.MOSQ. 4.5.2,"  PCC Surround for Type ""B"" Window",???,, 4.00 ,,,,,, 4.00 , 4.00 
PART3 MOSQ,S1.P3.MOSQ. 4.5.3,"  PCC Surround for Type ""C"" Window",???,, 6.00 ,,,,,, 6.00 , 6.00 
PART3 MOSQ,S1.P3.MOSQ. 4.5.4,Precast Concrete Coping,? ?,, 280.00 ,,,,,, 280.00 , 280.00 
PART3 MOSQ,S1.P3.MOSQ.4.6.1,Crescent,???,, 1.00 ,,,,,, 1.00 , 1.00 
PART3 MOSQ,S1.P3.MOSQ. 4.6.2,"Stainless Steel Pipe Handrailing 50 mm diameter, with all fixing & support",? ?,, 23.00 ,,,,,, 23.00 , 23.00 
PART3 MOSQ,S1.P3.MOSQ.4.7.1,Building Signage,???,, 2.00 ,,,,,, 2.00 , 2.00 
PART3 MOSQ,S1.P3.MOSQ. 5.1,Protected Membrane Roofing System on concrete slab,?2,," 1,708.60 ",,,,,," 1,708.60 "," 1,708.60 "
PART3 MOSQ,S1.P3.MOSQ.5.2,Portland Cement Plaster on concrete and masonry surfaces,?2,, 10.00 ,,,,,, 10.00 , 10.00 
PART3 MOSQ,S1.P3.MOSQ.5.3,"Painting on cement plaster surfaces, latex aggregate paint",?2,, 10.00 ,,,,,, 10.00 , 10.00 
PART3 MOSQ,S1.P3.MOSQ.6.1.1," Cavity Wall, 300 mm, consists of 100 mm and 150 mm thick concrete masonry units, and 50 mm thick rigid insulation.",?2,, 198.75 ,,,,,, 198.75 , 198.75 
PART3 MOSQ,S1.P3.MOSQ.6.1.2,"Concrete Masonry Unit, 200 mm thick",?2,, 82.80 ,,,,,, 82.80 , 82.80 
PART3 MOSQ,S1.P3.MOSQ.6.1.3,"Concrete Masonry Unit, 150 mm thick",?2,, 25.46 ,,,,,, 25.46 , 25.46 
PART3 MOSQ,S1.P3.MOSQ.6.1.4,"Concrete Masonry Unit, 100 mm thick",?2,, 98.20 ,,,,,, 98.20 , 98.20 
PART3 MOSQ,S1.P3.MOSQ. 6.2.1.1,"Type E, size 800 mm x 1900 mm, with 50 mm undercut",???,, 10.00 ,,,,,, 10.00 , 10.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.1.1," TA01,  Mirror, size 400 mm x 600 mm",???,, 8.00 ,,,,,, 8.00 , 8.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.1.2," TA18,  Liquid Soap Dispenser, Stainless Steel",???,, 8.00 ,,,,,, 8.00 , 8.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.1.3," TA20,  Robe Hook, Stainless Steel",???,, 10.00 ,,,,,, 10.00 , 10.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.1.4," TA30,  Toilet Paper Holder, Stainless Steel",???,, 10.00 ,,,,,, 10.00 , 10.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.1.5," TA40,  Paper Towel Dispenser, Stainless Steel",???,, 2.00 ,,,,,, 2.00 , 2.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.1.6," TA50,  Electric Hand Dryer",???,, 4.00 ,,,,,, 4.00 , 4.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.2.1,Decorative GFRC Panel,?2,, 3.00 ,,,,,, 3.00 , 3.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.3.1,Steel Ladder with Handrail Support (40 mm dia x 12650 mm long),???,, 1.00 ,,,,,, 1.00 , 1.00 
PART3 MOSQ,S1.P3.MOSQ.6.3.3.2,"Galvanized Steel Grating, size 350 mm width",? ?,, 22.00 ,,,,,, 22.00 , 22.00 
PART3 MOSQ,S1.P3.MOSQ.8.1.1,Portland Cement Plaster on concrete and masonry surfaces,?2,," 1,096.00 ",,,,,," 1,096.00 "," 1,096.00 "
PART3 MOSQ,S1.P3.MOSQ.8.1.2,"Painting on cement plaster surfaces, latex paint",?2,," 1,096.00 ",,,,,," 1,096.00 "," 1,096.00 "
PART3 MOSQ,S1.P3.MOSQ. 8.1.3,"Ceramic Tile, Glazed, including mortar bed",?2,, 215.00 ,,,,,, 215.00 , 215.00 
PART3 MOSQ,S1.P3.MOSQ.8.2.1,Floor Hardener ,?2,, 13.50 ,,,,,, 13.50 , 13.50 
PART3 MOSQ,S1.P3.MOSQ.8.2.2,"Ceramic Tile, Unglazed",?2,, 92.80 ,,,,,, 92.80 , 92.80 
PART3 MOSQ,S1.P3.MOSQ.8.2.3,Carpet on screed,?2,," 1,279.30 ",,,,,," 1,279.30 "," 1,279.30 "
PART3 MOSQ,S1.P3.MOSQ.8.2.4,"Marble Tile, size 400 mm x 400 mm (on top of conc. seater @ ablution area )",???,, 17.00 ,,,,,, 17.00 , 17.00 
PART3 MOSQ,S1.P3.MOSQ. 8.2.5,"Wood Base, 100 mm high",? ?,, 178.75 ,,,,,, 178.75 , 178.75 
PART3 MOSQ,S1.P3.MOSQ.8.2.6," Base Paint , 100 mm high",? ?,, 25.50 ,,,,,, 25.50 , 25.50 
PART3 MOSQ,S1.P3.MOSQ.8.3.1,Portland Cement Plaster on concrete and masonry surfaces,?2,," 1,576.00 ",,,,,," 1,576.00 "," 1,576.00 "
PART3 MOSQ,S1.P3.MOSQ.8.3.2,"Painting on cement plaster surfaces, latex paint",?2,," 1,576.00 ",,,,,," 1,576.00 "," 1,576.00 "
PART3 SW,,SITE QS,,,,,,,,, -   ,
PART3 SW,S1.P3.SW.19.1.1.1,"Aggregate Base Course, 200 mm thick
",?2,," 27,666.00 ",,,,,," 27,666.00 "," 27,666.00 "
PART3 SW,S1.P3.SW.19.1.1.2,"Aggregate Base Course, 150 mm thick
",?2,," 14,136.00 ",,,,,," 14,136.00 "," 14,136.00 "
PART3 SW,S1.P3.SW.19.1.2.1,"Bituminous Wearing Course, 60 mm thick
",?2,," 27,666.00 ",,,,,," 27,666.00 "," 27,666.00 "
PART3 SW,S1.P3.SW.19.1.2.2,"Bituminous Wearing Course, 50 mm thick
",?2,," 14,136.00 ",,,,,," 14,136.00 "," 14,136.00 "
PART3 SW,S1.P3.SW.19.1.3.1,"Edge Line Marking, solid yellow, 100 mm wide",? ?,," 12,325.00 ",,,,,," 12,325.00 "," 12,325.00 "
PART3 SW,S1.P3.SW.19.1.3.2,"Center Line Marking, 110 mm wide x 3.00 m. long",? ?,," 5,265.00 ",,,,,," 5,265.00 "," 5,265.00 "
PART3 SW,S1.P3.SW.19.1.3.3,"Parking Line Marking, solid white, 100 mm wide",? ?,," 6,020.00 ",,,,,," 6,020.00 "," 6,020.00 "
PART3 SW,S1.P3.SW.19.1.4.1,Stop Sign,???,, 1.00 ,,,,,, 1.00 , 1.00 
PART3 SW,S1.P3.SW.19.1.4.2,Parking,???,, 11.00 ,,,,,, 11.00 , 11.00 
PART3 SW,S1.P3.SW.19.1.4.3,Parking Sign w/ Right Arrow Direction ,???,, 6.00 ,,,,,, 6.00 , 6.00 
PART3 SW,S1.P3.SW.19.1.4.4,Left and Right Turn Arrow ,???,, 1.00 ,,,,,, 1.00 , 1.00 
PART3 SW,S1.P3.SW.19.1.5.1,"Precast Concrete Wheel Stopper, 1800 mm long, painted",???,, 960.00 ,,,,,, 960.00 , 960.00 
PART3 SW,S1.P3.SW.19.2.1.1,"Interlocking Concrete Pavers, 60 mm thick, including 50 mm sand setting bed, 100 mm aggregate base course, and precast concrete curbstone as per Dwg 1-XG-C-43",?2,," 14,362.00 ",,,,,," 14,362.00 "," 14,362.00 "
PART6 SW,,SITE QS,,,,,,,,, -   ,
PART6 SW,S1.P6.SW.19.1.1.1,"Aggregate Base Course, 200 mm thick
",?2,, -   ,,,,,, -   , -   
PART6 SW,S1.P6.SW.19.1.1.2,"Aggregate Base Course, 150 mm thick
",?2,, -   ,,,,,, -   , -   
PART6 SW,S1.P6.SW.19.1.2.1,"Bituminous Wearing Course, 50 mm thick
",?2,, -   ,,,,,, -   , -   
PART6 SW,S1.P6.SW.19.1.3.1,"Edge Line Marking, solid yellow, 100 mm wide",? ?,, -   ,,,,,, -   , -   
PART6 SW,S1.P6.SW.19.1.3.2,"Center Line Marking, 110 mm wide x 3.00 m. long",? ?,, -   ,,,,,, -   , -   
PART6 SW,S1.P6.SW.19.1.3.3,"Parking Line Marking, solid white, 100 mm wide",? ?,, -   ,,,,,, -   , -   
PART6 SW,S1.P6.SW.19.2.1.1,"Interlocking Concrete Pavers, 60 mm thick, including 50 mm sand setting bed, 100 mm aggregate base course, and precast concrete curbstone as per Dwg 1-XG-C-43",?2,," 7,264.77 ",,,,,," 7,264.77 "," 7,264.77 "
Officer Appartment ,,"SITE 1 PART1 16Nos, Site 2 Part 1 6Nos, Site 2 Part1 6Nos, Site 3 Part 1 10Nos",,,,,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13,ELECTRICAL SYSTEMS,,,,,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1,Electrical Service and Distribution (including testing).,,,,,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1.1,Electrical Branch Circuit Panelboards,,,,,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1.1.1,Main Distribution Panelboard (MDP) with KWHr meters,Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.2,"Panelboard ""LPGA""",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.3,"Panelboard ""LPGB""",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.4,"Panelboard ""LPGC""",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.5,"Panelboard ""LPGD""",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.6,"Panelboard ""LPGS"", including lighting contactor, 20A, 1P, 230V coil voltage 230V, auto-off-hand switch and a fuse.",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.7,"Panelboard ""LP1A""",Each,, -   , 1.00 ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.8,"Panelboard ""LP1B""",Each,, -   , 1.00 ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.9,"Panelboard ""LP1C""",Each,, -   , 1.00 ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.1.10,"Panelboard ""LP1D""",Each,, -   , 1.00 ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.2,"Wires and Cables, including RSC conduits",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1.2.1,"4 - 6 + 6 G mm2 Cu / XLPE / PVC, LV",L.M,, 6.00 , -   ,,,,, 6.00 , 6.00 
Officer Appartment ,S1.P1.OA.13.1.2.2,"4 - 25 + 10 G mm2 Cu / XLPE / PVC, LV",L.M,, 53.80 , 78.80 ,,,,, 132.60 , 132.60 
Officer Appartment ,S1.P1.OA.13.1.2.3 New,Cable ladder 300*100,L.M,, 3.20 , -   ,,,,, 3.20 , 3.20 
Officer Appartment ,S1.P1.OA.13.1.3,"Lighting and Branch Wiring (Wiring devices, including junction boxes, conduits, wirings and all pertinent accessories). ",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1.3.1,"Single pole switch 20A 230V , WP",Each,, 2.00 , -   ,,,, 1.00 , 3.00 , 3.00 
Officer Appartment ,S1.P1.OA.13.1.3.2,Single pole switch 20A 230V ,Each,, 33.00 , 33.00 ,,,, -   , 66.00 , 66.00 
Officer Appartment ,S1.P1.OA.13.1.3.3,"Single pole switch, 20 A,  230 V,  2-gang ",Each,, 48.00 , 49.00 ,,,,, 97.00 , 97.00 
Officer Appartment ,S1.P1.OA.13.1.3.4,"Single pole switch, 20 A, 230 V,  2-way",Each,, 19.00 , 18.00 ,,,, 1.00 , 38.00 , 38.00 
Officer Appartment ,S1.P1.OA.13.1.3.5,"Single pole switch, 20 A, 230 V,  2-way, 2-gang",Each,, 8.00 , 8.00 ,,,,, 16.00 , 16.00 
Officer Appartment ,S1.P1.OA.13.1.3.6,Fan motor switch,Each,, 20.00 , 20.00 ,,,,, 40.00 , 40.00 
Officer Appartment ,S1.P1.OA.13.1.3.7,"Fan motor switch, 2-way",Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.1.3.8,Water heater switch,Each,, 24.00 , 24.00 ,,,,, 48.00 , 48.00 
Officer Appartment ,S1.P1.OA.13.1.3.9,"Single outlet 15A, 230V, WP",Each,, -   , -   ,,,, 3.00 , 3.00 , 3.00 
Officer Appartment ,S1.P1.OA.13.1.3.10,"Single outlet 15A, 230V",Each,, 102.00 , 102.00 ,,,,, 204.00 , 204.00 
Officer Appartment ,S1.P1.OA.13.1.3.11,"Duplex outlet 15A,  230V",Each,, 36.00 , 36.00 ,,,,, 72.00 , 72.00 
Officer Appartment ,S1.P1.OA.13.1.3.12,"Single outlet 15A, 230V with GFCI",Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.1.3.13, Push Button Switch,Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.1.3.14,Bell/Chime,Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.1.3.15,"Special Purpose Outlet 20A,  230V ",Each,, 13.00 , 12.00 ,,,,, 25.00 , 25.00 
Officer Appartment ,S1.P1.OA.13.1.3.16,Photocell,Each,, -   , -   ,,,, 1.00 , 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.3.17,Unfused Safety Switch (UFSS),,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1.3.17.1,"30 A, 2 P, 230 V, 60 Hz, WP",Each,, -   , -   ,,,, 73.00 , 73.00 , 73.00 
Officer Appartment ,S1.P1.OA.13.1.3.17.2,"CB, 15AT, 100AF, 1P,  230V,  in lockable NEMA1 enclosure ",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.1.4,"Interior Lighting (Lighting fixtures, including junction boxes, conduits, wirings and all pertinent accessories). ",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.1.4.1,Type D4,Each,, 8.00 , 8.00 ,,,,, 16.00 , 16.00 
Officer Appartment ,S1.P1.OA.13.1.4.2,Type E3,Each,, 44.00 , 44.00 ,,,,, 88.00 , 88.00 
Officer Appartment ,S1.P1.OA.13.1.4.3,Type E4,Each,, 44.00 , 45.00 ,,,, 2.00 , 91.00 , 91.00 
Officer Appartment ,S1.P1.OA.13.1.4.4,Type E7,Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.1.4.5,Type H8,Each,, 24.00 , 24.00 ,,,,, 48.00 , 48.00 
Officer Appartment ,S1.P1.OA.13.1.4.6,Type J2,Each,, 2.00 , -   ,,,,, 2.00 , 2.00 
Officer Appartment ,S1.P1.OA.13.1.4.7,Type K1,Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.1.4.8,Type K2,Each,, 16.00 , 16.00 ,,,,, 32.00 , 32.00 
Officer Appartment ,S1.P1.OA.13.1.4.9,Type K3,Each,, 8.00 , 4.00 ,,,,, 12.00 , 12.00 
Officer Appartment ,S1.P1.OA.13.1.4.10,Type K4,Each,, 16.00 , 16.00 ,,,,, 32.00 , 32.00 
Officer Appartment ,S1.P1.OA.13.1.4.11,Type M2,Each,, 20.00 , -   ,,,,, 20.00 , 20.00 
Officer Appartment ,S1.P1.OA.13.1.4.12,Type N5,Each,, -   , -   ,,,, 3.00 , 3.00 , 3.00 
Officer Appartment ,S1.P1.OA.13.1.4.13,Type V7,Each,, 8.00 , 8.00 ,,,,, 16.00 , 16.00 
Officer Appartment ,S1.P1.OA.13.1.4.14,Type V8,Each,, 8.00 , 8.00 ,,,,, 16.00 , 16.00 
Officer Appartment ,S1.P1.OA.13.1.4.15,Type V9,Each,, 12.00 , 12.00 ,,,,, 24.00 , 24.00 
Officer Appartment ,S1.P1.OA.13.1.4.16,Emergency Pack Type E4,Each,, 2.00 , 3.00 ,,,, 2.00 , 7.00 , 7.00 
Officer Appartment ,S1.P1.OA.13.1.4.17,Emergency Pack Type E7,Each,, 1.00 , 1.00 ,,,,, 2.00 , 2.00 
Officer Appartment ,S1.P1.OA.13.1.4.18,Emergency Pack Type K2,Each,, 8.00 , 8.00 ,,,,, 16.00 , 16.00 
Officer Appartment ,S1.P1.OA.13.1.4.19,Emergency Pack Type K4,Each,, 12.00 , 12.00 ,,,,, 24.00 , 24.00 
Officer Appartment ,S1.P1.OA.13.2,"Grounding and Lightning Protection System (including conduits,  exothermic bonding, boxes, testing and all pertinent accessories",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.2.1,Air Terminal (600 mm ht),Each,, -   , -   ,,,, 32.00 , 32.00 , 32.00 
Officer Appartment ,S1.P1.OA.13.2.2,Grounding Electrode assembly w/cast iron cover inspection pit,Each,, 7.00 , -   ,,,,, 7.00 , 7.00 
Officer Appartment ,S1.P1.OA.13.2.3,Grounding Electrode,Each,, 5.00 , -   ,,,,, 5.00 , 5.00 
Officer Appartment ,S1.P1.OA.13.2.4,"Cables, including trench excavation and backfilling",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.2.4.1,10 mm2 Cu / PVC / PVC,L.M,, 20.00 , -   ,,,,, 20.00 , 20.00 
Officer Appartment ,S1.P1.OA.13.2.4.2,"16 mm2,  BCW",L.M,, -   , -   ,,,, 235.00 , 235.00 , 235.00 
Officer Appartment ,S1.P1.OA.13.2.4.3,"50 mm2,  BCW",L.M,, 360.00 , -   ,,,, 268.00 , 628.00 , 628.00 
Officer Appartment ,S1.P1.OA.13.3,"Fire Alarm System (including wires, conduit, uPVC sleeves, boxes, testing and all pertinent accessories)",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.3.1,"Fire Alarm Control Panel,  2 - loop capacity intelligent soft addressable",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.3.2,Addressable heat detector with built-in short circuit isolator,Each,, 4.00 , 4.00 ,,,,, 8.00 , 8.00 
Officer Appartment ,S1.P1.OA.13.3.3,Addressable fire alarm horn with built-in short circuit isolator,Each,, 5.00 , 5.00 ,,,,, 10.00 , 10.00 
Officer Appartment ,S1.P1.OA.13.3.4,Addressable fire alarm manual station with built-in short circuit isolator,Each,, 5.00 , 5.00 ,,,,, 10.00 , 10.00 
Officer Appartment ,S1.P1.OA.13.3.5,"Addressable smoke detector, with built-in short circuit isolator Optical ty pe",Each,, 18.00 , 18.00 ,,,,, 36.00 , 36.00 
Officer Appartment ,S1.P1.OA.13.4,"Telephone System (including wires, conduit, uPVC sleeves, boxes, testing and all pertinent accessories)",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.4.1,Telephone Terminal Cabinet with 50 pairs capacity,Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.4.2,Pull Box,Each,, 8.00 , 9.00 ,,,,, 17.00 , 17.00 
Officer Appartment ,S1.P1.OA.13.4.3,"Telephone outlet, flush wall mounted",Each,, 16.00 , 16.00 ,,,,, 32.00 , 32.00 
Officer Appartment ,S1.P1.OA.13.5,"Television System (including cables, conduit, uPVC sleeves, boxes, testing and all pertinent accessories)",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.5.1,"Splitter, 24-ways",Each,, -   , -   ,,,, 1.00 , 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.5.2,"Television Outlet, flush wall mounted",Each,, 12.00 , 12.00 ,,,,, 24.00 , 24.00 
Officer Appartment ,S1.P1.OA.13.6,"Video Intercom System (including cables, conduit, boxes, testing and all pertinent accessories)",,,  ,  ,,,,, -   ,  
Officer Appartment ,S1.P1.OA.13.6.1,"Main Intercom Unit, 10 unit capacity with 12 VDC Power Source",Each,, 1.00 , -   ,,,,, 1.00 , 1.00 
Officer Appartment ,S1.P1.OA.13.6.2,"Intercom Outlet, flush wall mounted",Each,, 8.00 , 8.00 ,,,,, 16.00 , 16.00 
NCO ELECTRICAL,,,,,,,,,,, -   ,  
NCO ELECTRICAL,S1.P3.NCO.13.1,       Electrical Service and Distribution (including testing).,,,  ,  ,  ,,,, -   ,  
NCO ELECTRICAL,S1.P3.NCO.13.1.1,Electrical Branch Circuit Panelboards,,,  ,  ,  ,,,, -   ,  
NCO ELECTRICAL,S1.P3.NCO.13.1.1.1,Main Distribution Panelboard (MDP) with KWHr meters,Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.2,Distribution Panelboard - G (DPG) with KWHr meters,Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.3,Distribution Panelboard - 3F (DP3F) with KWHr meters,Each,, -   , -   , -   , 1.00 , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.4,"Panelboard ""LPGA""",Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.5,"Panelboard ""LPGB""",Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.6,"Panelboard ""LPGC""",Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.7,"Panelboard ""LPGD""",Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.8,"Panelboard ""LPGS"", including lighting contactor, 20A, 1P, 230V coil voltage 230V, auto-off-hand switch and a fuse.",Each,, 1.00 , -   , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.9,"Panelboard ""LP1A""",Each,, -   , 1.00 , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.10,"Panelboard ""LP1B""",Each,, -   , 1.00 , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.11,"Panelboard ""LP1C""",Each,, -   , 1.00 , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.12,"Panelboard ""LP1D""",Each,, -   , 1.00 , -   , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.13,"Panelboard ""LP2A""",Each,, -   , -   , 1.00 , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.14,"Panelboard ""LP2B""",Each,, -   , -   , 1.00 , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.15,"Panelboard ""LP2C""",Each,, -   , -   , 1.00 , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.16,"Panelboard ""LP2D""",Each,, -   , -   , 1.00 , -   , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.17,"Panelboard ""LP3A""",Each,, -   , -   , -   , 1.00 , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.18,"Panelboard ""LP3B""",Each,, -   , -   , -   , 1.00 , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.19,"Panelboard ""LP3C""",Each,, -   , -   , -   , 1.00 , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.20,"Panelboard ""LP3D""",Each,, -   , -   , -   , 1.00 , -   ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.21,"Panelboard ""LP4A""",Each,, -   , -   , -   , -   , 1.00 ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.22,"Panelboard ""LP4B""",Each,, -   , -   , -   , -   , 1.00 ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.23,"Panelboard ""LP4C""",Each,, -   , -   , -   , -   , 1.00 ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.1.24,"Panelboard ""LP4D""",Each,, -   , -   , -   , -   , 1.00 ,, 1.00 , 1.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.2,Cable ladder,,,  ,  ,  ,  ,  ,, -   ,  
NCO ELECTRICAL,S1.P3.NCO.13.1.2.1,1 x 400 mm W ,L.M,, 6.40 , 6.40 , 3.20 , 3.20 , -   ,, 19.20 , 19.20 
NCO ELECTRICAL,S1.P3.NCO.13.1.3,"Uncovered Cable tray, corrugated bottom type ",,,  ,  ,  ,  ,  ,, -   ,  
NCO ELECTRICAL,S1.P3.NCO.13.1.3.1,50 mm W x 50 mm H,L.M,, 3.00 , -   , -   , -   , -   ,, 3.00 , 3.00 
NCO ELECTRICAL,S1.P3.NCO.13.1.3.2,400 mm W x 100 mm H,L.M,, 5.00 , -   , -   , 2.00 , -   ,, 7.00 , 7.00 
